,Method,Method Type,recall_5_mean,recall_5_std,recall_5_max,recall_5_min,recall_10_mean,recall_10_std,recall_10_max,recall_10_min,precision_5_mean,precision_5_std,precision_5_max,precision_5_min,precision_10_mean,precision_10_std,precision_10_max,precision_10_min,f_score_5_mean,f_score_5_std,f_score_5_max,f_score_5_min,f_score_10_mean,f_score_10_std,f_score_10_max,f_score_10_min,MAP_5,MAP_10,NDCG_5_mean,NDCG_5_std,NDCG_5_max,NDCG_5_min,NDCG_10_mean,NDCG_10_std,NDCG_10_max,NDCG_10_min
0,Bag of Words - Lemmatization,LEXICOGRAPHIC,10.360815761154438,12.548835989193787,83.33333333333334,0.0,14.495339214660863,16.82055551683224,100.0,0.0,22.06371191135734,21.240955655562594,100.0,0.0,16.121883656509695,15.997282957028823,90.0,0.0,13.010022055358355,14.654249080012434,90.9090909090909,0.0,13.61567490236096,14.451652970610281,88.88888888888889,0.0,0.08084044645508194,0.09688625006571672,0.43241492796071546,0.34242928981181003,1.0000000000000002,0.0,0.43064861098591933,0.3396781110565314,1.0000000000000002,0.0
1,Bag of Words - Porter's Stemmer,LEXICOGRAPHIC,7.398909886421865,12.611218158341924,83.33333333333334,0.0,10.5673545734439,16.846272423346164,100.0,0.0,15.484764542936288,21.863316736598783,100.0,0.0,11.655124653739612,16.235111033454036,90.0,0.0,9.252260049302713,14.842938835153172,90.9090909090909,0.0,9.913249101637035,14.681020298563263,88.88888888888889,0.0,0.0561823764778037,0.0689839178759425,0.4809324942948847,0.3637268754491841,1.0000000000000002,0.0,0.4825691815714391,0.3618978426340427,1.0000000000000002,0.0
2,Bag of Words - Porter's Stemmer Queries Stemmed,LEXICOGRAPHIC,10.28778322880472,12.582726696350509,83.33333333333334,0.0,14.316609197569695,16.524250203884584,100.0,0.0,21.85595567867036,21.253609025086607,100.0,0.0,15.948753462603879,15.77738865912424,90.0,0.0,12.915314751159718,14.688032355715714,90.9090909090909,0.0,13.458985626551083,14.185606551500006,88.88888888888889,0.0,0.07955958076832052,0.09482331025514375,0.43282585382801697,0.3385326060773016,1.0000000000000002,0.0,0.4297635140951806,0.33531955046169987,1.0000000000000002,0.0
3,BM25 - Lemmatization Numbers Replaced,LEXICOGRAPHIC,13.62713149843274,14.5427817758758,83.33333333333334,0.0,19.45196494160465,19.650279468573725,100.0,0.0,27.950138504155124,23.45034136274595,100.0,0.0,20.865650969529085,17.4662913899597,100.0,0.0,17.02309700575015,16.84837420730176,90.9090909090909,0.0,18.193116197155607,16.67108848118349,82.3529411764706,0.0,0.10893975350644383,0.13411248115912672,0.5001022497307571,0.35847094401727575,1.0000000000000002,0.0,0.5011256539368294,0.35600666999183905,1.0000000000000002,0.0
4,BM25 - Lemmatization,LEXICOGRAPHIC,14.593247175215554,14.569563586639681,83.33333333333334,0.0,20.865219921814997,19.584312189668267,100.0,0.0,29.84764542936288,22.89459534878607,100.0,0.0,22.36842105263158,17.062520069719806,100.0,0.0,18.21688951187067,16.79116838273505,90.9090909090909,0.0,19.510939668778935,16.47925609404334,88.88888888888889,0.0,0.1166658510631387,0.14375747878652098,0.5057855285954805,0.35388023581125555,1.0000000000000002,0.0,0.5062845084799734,0.35068815032857625,1.0000000000000002,0.0
5,BM25 - Lemmatization Cross Encoder,LEXICOGRAPHIC,15.759954,14.439942,83.333333,0.0,20.86522,19.584312,100.0,0.0,32.841644,23.152133,100.0,0.0,22.903311,17.788971,100.0,0.0,19.776504,16.665978,90.909091,0.0,19.673399,16.680059,100.0,0.0,0.122148,0.153571,0.804835,0.327528,1.0,0.0,0.811885,0.291716,1.0,0.0
6,BM25 - Lemmatization Cross Encoder With Query Expansion,LEXICOGRAPHIC,15.642263576215953,14.461899526846322,83.33333333333334,0.0,20.54031877686469,19.44814624839743,100.0,0.0,32.523084025854104,23.081200672859875,100.0,0.0,22.640153014114233,17.728612900708516,100.0,0.0,22.905529189435768,15.805782490073511,90.9090909090909,0.050163029847002764,19.38548031033499,16.554033081667665,100.0,0.0,0.1218223860140973,0.15215155167587355,0.8041814062857169,0.32622906503425925,1.0,0.0,0.8112501216104989,0.2894788281580904,1.0,0.0
7,BM25 - Lemmatization Numbers Deleted,LEXICOGRAPHIC,14.544664819440776,14.487860818061552,83.33333333333334,0.0,20.67143726679626,19.478079338396448,100.0,0.0,29.721448467966574,22.920687054347557,100.0,0.0,22.207520891364904,17.065198989976867,100.0,0.0,18.16343524253079,16.722643034219185,90.9090909090909,0.0,19.33691529260003,16.40020273796428,82.3529411764706,0.0,0.11524464710416742,0.14152901449313662,0.5021179081721717,0.35446432320828897,1.0000000000000002,0.0,0.502873587283515,0.35106159626420286,1.0000000000000002,0.0
8,BM25 - Porter's Stemmer,LEXICOGRAPHIC,9.352939749197981,13.872295394403892,83.33333333333334,0.0,13.876176379765143,19.458256574326175,100.0,0.0,19.04432132963989,23.55573393322715,100.0,0.0,14.74376731301939,17.8545209445857,90.0,0.0,11.660255479942444,16.33018313070786,90.9090909090909,0.0,12.939340815217978,16.8200083853782,88.88888888888889,0.0,0.07211183642707211,0.09160473462438247,0.5412134897992222,0.3696044124620561,1.0000000000000002,0.0,0.5487387866305246,0.36535591761211295,1.0000000000000002,0.0
9,BM25 - Porter's Stemmer Queries Stemmed,LEXICOGRAPHIC,14.47831566977608,14.481887382764024,83.33333333333334,0.0,20.70247678496834,19.54347829642529,100.0,0.0,29.667590027700832,22.79561244596778,100.0,0.0,22.14681440443213,16.98609099063836,100.0,0.0,18.0796109598002,16.70355875315731,90.9090909090909,0.0,19.340119633226827,16.440615908365693,88.88888888888889,0.0,0.11471899991456289,0.1414899380392925,0.5080696706365766,0.34911153045041077,1.0000000000000002,0.0,0.5081297526000739,0.3458917324497212,1.0,0.0
